"时间","事件类型","关联题目","题目编码","附加信息"
"2026/8/21 00:53:34","任务开始","","",""
"2026/8/21 00:53:45","启动靶场","D-01 · AWS S3 ACL Public Read","d-01","container_addr: 10.0.179.144:8000"
"2026/8/21 00:53:56","启动靶场","D-02 · AWS Lambda Env Secret Leak","d-02","container_addr: 10.0.179.145:8000"
"2026/8/21 00:53:56","启动靶场","F1-04-http-response-builder","f1-04","container_addr: 10.0.179.146:9013"
"2026/8/21 00:55:27","得分成功","D-02 · AWS Lambda Env Secret Leak","d-02","+200 点"
"2026/8/21 00:55:44","关闭靶场","D-02 · AWS Lambda Env Secret Leak","d-02",""
"2026/8/21 00:55:44","得分成功","D-01 · AWS S3 ACL Public Read","d-01","+200 点"
"2026/8/21 00:56:00","启动靶场","A-05 · 合同审批系统","a-05","container_addr: 10.0.179.145:80"
"2026/8/21 00:56:02","关闭靶场","D-01 · AWS S3 ACL Public Read","d-01",""
"2026/8/21 00:56:18","启动靶场","C-03 · 大模型业务集成门户","c-03","container_addr: 10.0.179.144:3000"
"2026/8/21 00:56:48","得分成功","F1-04-http-response-builder","f1-04","+200 点"
"2026/8/21 00:57:14","关闭靶场","F1-04-http-response-builder","f1-04",""
"2026/8/21 00:57:32","启动靶场","C-06 · 关联关系检索引擎","c-06","container_addr: 10.0.179.146:8080"
"2026/8/21 01:07:05","得分成功","C-06 · 关联关系检索引擎","c-06","+100 点"
"2026/8/21 01:07:30","关闭靶场","C-06 · 关联关系检索引擎","c-06",""
"2026/8/21 01:07:54","启动靶场","C-07 · 终端接入守护程序","c-07","container_addr: 10.0.179.146:23"
"2026/8/21 01:14:01","得分成功","C-07 · 终端接入守护程序","c-07","+100 点"
"2026/8/21 01:14:17","关闭靶场","C-07 · 终端接入守护程序","c-07",""
"2026/8/21 01:14:33","启动靶场","C-08 · 智能编排调度中枢","c-08","container_addr: 10.0.179.146:7860"
"2026/8/21 01:16:18","关闭靶场","A-05 · 合同审批系统","a-05",""
"2026/8/21 01:16:37","关闭靶场","C-03 · 大模型业务集成门户","c-03",""
"2026/8/21 01:16:52","启动靶场","C-09 · 综合业务运营中台","c-09","container_addr: 10.0.179.144:8443"
"2026/8/21 01:16:53","启动靶场","A-10 · 限时秒杀优惠券系统","a-10","container_addr: 10.0.179.145:80"
"2026/8/21 01:19:24","得分成功","A-10 · 限时秒杀优惠券系统","a-10","+500 点"
"2026/8/21 01:19:50","关闭靶场","A-10 · 限时秒杀优惠券系统","a-10",""
"2026/8/21 01:20:06","启动靶场","A-03 · 资产管理系统","a-03","container_addr: 10.0.179.145:80"
"2026/8/21 01:34:06","得分成功","C-09 · 综合业务运营中台","c-09","+100 点"
"2026/8/21 01:34:32","关闭靶场","C-09 · 综合业务运营中台","c-09",""
"2026/8/21 01:34:48","启动靶场","A-04 · 内容管理系统","a-04","container_addr: 10.0.179.144:80"
"2026/8/21 01:34:58","关闭靶场","C-08 · 智能编排调度中枢","c-08",""
"2026/8/21 01:35:13","启动靶场","A-07 · 图片资源管理系统","a-07","container_addr: 10.0.179.146:80"
"2026/8/21 01:37:29","得分成功","A-04 · 内容管理系统","a-04","+300 点"
"2026/8/21 01:37:53","关闭靶场","A-04 · 内容管理系统","a-04",""
"2026/8/21 01:38:09","启动靶场","A-09 · 报表引擎","a-09","container_addr: 10.0.179.144:80"
"2026/8/21 01:40:19","关闭靶场","A-03 · 资产管理系统","a-03",""
"2026/8/21 01:40:35","启动靶场","A-12 · Online Code Editor","a-12","container_addr: 10.0.179.145:8080"
"2026/8/21 01:41:21","得分成功","A-09 · 报表引擎","a-09","+300 点"
"2026/8/21 01:41:45","关闭靶场","A-09 · 报表引擎","a-09",""
"2026/8/21 01:41:45","得分成功","A-07 · 图片资源管理系统","a-07","+300 点"
"2026/8/21 01:42:01","启动靶场","A-14 · 货运追踪平台","a-14","container_addr: 10.0.179.144:80"
"2026/8/21 01:42:03","关闭靶场","A-07 · 图片资源管理系统","a-07",""
"2026/8/21 01:42:19","启动靶场","A-17 · 系统诊断面板","a-17","container_addr: 10.0.179.146:80"
"2026/8/21 01:44:19","得分成功","A-12 · Online Code Editor","a-12","+300 点"
"2026/8/21 01:44:52","关闭靶场","A-12 · Online Code Editor","a-12",""
"2026/8/21 01:45:08","启动靶场","C-04 · 空间信息发布中心","c-04","container_addr: 10.0.179.145:8080,10.0.179.145:5005"
"2026/8/21 01:51:40","得分成功","A-14 · 货运追踪平台","a-14","+300 点"
"2026/8/21 01:52:13","关闭靶场","A-14 · 货运追踪平台","a-14",""
"2026/8/21 01:52:29","启动靶场","C-05 · 算法效果展示平台","c-05","container_addr: 10.0.179.144:7860"
"2026/8/21 01:55:30","得分成功","C-04 · 空间信息发布中心","c-04","+300 点"
"2026/8/21 01:55:48","关闭靶场","C-04 · 空间信息发布中心","c-04",""
"2026/8/21 01:56:12","启动靶场","D-04 · Azure Storage SAS Overprivileged","d-04","container_addr: 10.0.179.145:8000"
"2026/8/21 01:58:12","得分成功","A-17 · 系统诊断面板","a-17","+300 点"
"2026/8/21 01:58:29","关闭靶场","A-17 · 系统诊断面板","a-17",""
"2026/8/21 01:58:56","启动靶场","D-06 · CloudVault 对象存储网关","d-06","container_addr: 10.0.179.146:80"
"2026/8/21 02:02:42","得分成功","D-06 · CloudVault 对象存储网关","d-06","+300 点"
"2026/8/21 02:03:08","关闭靶场","D-06 · CloudVault 对象存储网关","d-06",""
